url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
http://m.hf356.com/,19,11,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.157894737,0.272727273,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,1,0,5,5,0,3,3,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,1,0,316,-2,0,1,1,0,1
http://m.hf735.com/,19,11,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.157894737,0.272727273,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,1,0,5,5,0,3,3,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,1,0,316,-2,0,1,1,0,1
https://autellinux.wordpress.com/2015/04/22/shell-scripting-example-7-shell-script-to-disable/,94,24,0,2,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.095744681,0,0,0,0,0,0,2,0,0,0,0,0,0,13,5,1,9,1,10,10,9,5.307692308,9.5,4.545454545,0,1,0,0,0,0,124,0.612903226,0.387096774,0,7,0,0.041666667,0,0,0,1,63.26530612,0,0,100,0,0,0,100,0,0,0,1,0,0,588,7446,0,0,0,8,0
http://WooordHunt.ru/word/tabloid,33,13,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,4,10,4,10,10,7,7,10,5.5,0,0,0,0,0,0,100,0.98,0.02,0,0,0,1,0,0,0,0,92.30769231,0,96.66666667,3.333333333,0,0,0,100,0,0,0,1,0,1,201,-2,7524,0,0,3,0
http://khujo.com/.well-known/amk/main.html?accessToFile=validating&amp;fileAccess=74160&amp;encryptedCookie=86ce7cef9989ad00b067b823140158d9&amp;u=d8fb7d5f5305d8282df9a2d033323ae1&amp;connecting=bd17d4258515a74e012372b6d717073c&amp;phaseAccess=ce6f88011489f3ee23e1c50628643520&amp;p=bf5ee2300a7a3b7e543cad636a2a4413,315,9,1,3,1,0,1,6,0,7,0,0,0,5,0,1,0,6,0,0,0,0,0,0,1,0.361904762,0,0,0,0,0,0,3,1,0,0,0,1,0,20,20,3,5,3,32,5,32,14.2,5,14.68421053,0,0,0,0,0,0,39,0.871794872,0.128205128,0,0,0,0.2,0,0,0,0,100,0,84.61538462,15.38461538,0,0,0,78.57142857,0,0,0,0,0,0,172,7499,1079600,0,1,2,1
https://www.secureupdate.appleld.com.duilawyeryork.com/ap/f533df52e392b75?cmd=_update&dispatch=f533df52e392b751e&locale=_US,123,46,1,5,0,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0.170731707,0,0,0,0,1,0,3,0,0,0,0,1,0,13,6,2,3,2,17,13,17,7.461538462,7.6,7.375,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3992,5707171,0,1,0,1
http://versigny.tumblr.com,26,19,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,6,6,0,8,8,0,7,7,0,0,1,0,0,0,0,21,0.476190476,0.523809524,0,1,0,0.363636364,0,0,0,1,28.57142857,0,0,100,0,0,0,25,0,0,0,1,1,0,1049,5159,4880613,0,0,8,0
http://en.academic.ru/dic.nsf/enwiki/72024,42,14,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.119047619,0,0,0,0,0,0,3,0,0,0,0,2,0,6,0,2,2,3,8,8,6,4.5,5,4.25,0,0,0,0,0,0,310,0.94516129,0.05483871,0,0,0,0.529411765,0,0.235294118,0,1,86.66666667,0,94.73684211,5.263157895,0,0,0,79.6875,0,0,0,1,1,0,149,7157,2294,0,0,3,0
http://www.techzoom.net/Tools/IPAddressCalculator,49,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,4,7,3,3,5,19,8,19,8.75,5.5,12,0,0,0,0,0,0,20,0.75,0.25,0,0,0,0,0,0.4,0,0,66.66666667,0,100,0,0,0,0,0,0,0,0,1,0,0,149,6060,754593,0,1,5,0
https://en.wiktionary.org/wiki/iconoclast,41,17,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,2,4,10,10,10,6.5,6,7,0,0,0,0,0,0,230,0.969565217,0.030434783,0,0,0,0.285714286,0,0,0,0,100,0,100,0,0,0,0,90.66666667,0,0,0,0,1,0,509,6431,623,0,0,5,0
